topic,question
Operating System,The difference between a named pipe and a regular file in Unix is that
Operating System,"The following C program: { fork(); fork(); printf(""yes"");} If we execute this core segment, how many times the string yes will be printed?"
Operating System,The Linux command mknod myfifo b 4 16
Operating System,"Identify the correct order in which a server process must invoke the function calls accept, bind, listen, and recv according to UNIx socket API."
Operating System,A process executes the code fork(); fork(); fork(); The total number of child processes created is
Operating System,Which of the following UNIX command allows scheduling a program to be executed at the specifies time?
Operating System,Consider the execution of the following commands in a shell on a Linux operating system.bash$ cat alpha Mathematics bash$ In alpha beta bash$ rm alpha bash$ cat >> beta << SAME Information Technology SAME bash$ cat beta The output of the last command will be:
Operating System,A process executes the following code for (i = 0; i < n; i + +) fork( ); The total number of child processes created is
Operating System,"A client process P needs to make a TCP connection to a server process S. Consider the following situation: the server process S executes a socket(), a bind() and a listen() system call in that order, following which it is preempted. Subsequently, the client process P executes a socket() system call followed by connect() system call to connect to the server process S. The server process has not executed any accept() system call. Which one of the following events could take place?"
Operating System,Which of the following system calls results in the sending of SYN packets?
Operating System,"The contents of the text file t1 txt containing four lines are as follows :a1 b1 a2 b2 a3 b2 a4 b1 The contents of the text file t2 txt containing five lines are as follows : a1 c1 a2 c2 a3 c3 a4 c3 a5 c4 Consider the following Bourne shell script :awk - F '  '  ' {Print $1, $2} ' t1.txt | while read a b ; do awk -v aV = $ a - v by = $b  - F ' ' aV = = $1 (print aV, bV, $2 ) ' t2.txt done Which one of the following strings will NOT be present in the output generated when the above script in run? (Note that the given strings may be substrings of a printed line.)"
Operating System,"A user level process in Unix traps the signal sent on a Ctrl-C input, and has a signal handling routine that saves appropriate files before terminating the process. When a Ctrl-C input is given to this process, what is the mode in which the signal handling routine executes?"
Operating System,"A student wishes to create symbolic links in a computer system running Unix. Three text files named ""file 1"", ""file 2"" and ""file 3"" exist in her current working directory, and the student has read and write permissions for all three files. Assume that file 1 contains information about her hobbies, file 2 contains information about her friends and file 3 contains information about her courses. The student executes the following sequence of commands from her current working directory.ln -s file 1 file 2 ln -s file 2 file 3 Which of the following types of information would be lost from her file system? I.Hobbies II.Friends III.Courses"
Operating System,The shell command find -name passwd -print is executed in /etc directory of a computer system running Unix. Which of the following shell commands will give the same information as the above command when executed in the same directory?
Operating System,"Consider the following code fragment: if (fork() == 0)  { a = a + 5; printf(""%d,%dn"", a, &a); } else { a = a - 5; printf(""%d, %dn"", a, &a); } Let u, v be the values printed by the parent process, and x, y be the values printed by the child process. Which one of the following is TRUE?"
Operating System,A process executes the following segment of code : for(i = 1; i <= n; i++) fork (); The number of new processes created is
Operating System,"Which of the following commands or sequences of commands will rename a file x to file y in a Unix system ? I. mv y, x II. mv x, y III. cp y, x (rm x) IV. cp x, y (rm x)"
Operating System,System calls are usually invoked by using
Operating System,"When an interrupt occurs, an operating system"
Operating System,Which one or more of the following need to be saved on a context switch from one thread (T1) of a process to another thread (T2) of the same process?
Operating System,Which of the following is/are shared by all the threads in a process ? I. Program counter II. Stack III. Address space IV. Registers
Operating System,"Consider the following statements with respect to user-level threads and kernel-supported threads (i) context switch is faster with kernel-supported threads (ii) for user-level threads, a system call can block the entire process (iii) Kernel supported threads can be scheduled independently (iv) User level threads are transparent to the kernel. Which of the above statements are true?"
Operating System,Let the time taken to switch between user and kernel modes of execution be t1 while the time taken to switch between two processes be t2. Which of the following is TRUE?
Operating System,"A thread is usually defined as a 'light weight process' because an operating system (OS) maintains smaller data structures for a thread than for a process. In relation to this, which of the followings is TRUE?"
Operating System,Consider the following statements about user level threads and kernel level threads. Which one of the following statements is FALSE?
Mathematics,"Let p and q be the following propositions: p : Fail grade can be given. q : Student scores more than 50% marks. Consider the statement: ""Fail grade cannot be given when student scores more than 50% marks."" Which one of the following is the CORRECT representation of the above statement in propositional logic?"
Mathematics,"Geetha has a conjecture about integers, which is of the form ∀x[P(x)⇒∃yQ(x,y)] where P is a statement about integers, and Q is a statement about pairs of integers. Which of the following (one or more) option(s) would imply Geetha's conjecture?"
Mathematics,Choose the correct choice(s) regarding the following proportional logic assertion S: S:((P∧Q)→R)→((P∧Q)→(Q→R))
Mathematics,Let p and q be two propositions. Consider the following two formulae in propositional logic. S1:(¬p∧(p∨q))→q S2:q→(¬p∧(p∨q)). Which one of the following choices is correct?
Mathematics,"Given that B(a) means ""a is a bear"" F(a) means ""a is a fish"" and E(a,b) means ""a eats b"" Then what is the best meaning of ∀x[F(x)→∀y(E(y,x)→b(y))]"
Mathematics,Which one of the following predicate formulae is NOT logically valid? Note that W is a predicate formula without any free occurrence of x.
Mathematics,"Consider the first-order logic sentence φ≡∃s∃t∃u∀v∀w∀x∀yφ(s,t,u,v,w,x,y) where φ(s,t,u,v,w,x,y) is a quantifier-free first-order logic formula using only predicate symbols, and possibly equality, but no function symbols. Suppose φ has a model with a universe containing 7 elements. Which one of the following statements is necessarily true?"
Mathematics,Which one of the following Boolean expressions is NOT a tautology?
Mathematics,"Let p, q, r denote the statements ""It is raining ,"" It is cold"", and "" It is pleasant,"" respectively. Then the statement ""It is not raining and it is pleasant, and it is not pleasant only if it is raining and it is cold"" is represented by"
Mathematics,"Let p, q, and r be propositions and the expression (p→q)→r be a contradiction. Then, the expression (r→p)→q is"
Mathematics,"Consider the first-order logic sentence  F:∀x(∃yR(x,y)). Assuming non-empty logical domains, which of the sentences below are implied by F? I. ∃y(∃xR(x,y)) II. ∃y(∀xR(x,y)) III. ∀y(∃xR(x,y)) IV. ¬∃x(∀y¬R(x,y))"
Mathematics,The statement (¬p)⇒(¬q) is logically equivalent to which of the statements below? I. p⇒q II.q⇒p III. (¬q)∨p IV. (¬p)∨q
Mathematics,Consider the following expressions: (i) false (ii) Q (iii) true (iv) P∨Q (v) ¬Q∨P. The number of expressions given above that are logically implied by P∧(P⇒Q) is ________.
Mathematics,"Let p,q, r, s represent the following propositions. p: x∈{8,9,10,11,12}, q: x is a composite number, r: x is a perfect square, s: x is a prime number.The integer x≥2 which satisfies ¬((p⇒q)∧(¬r∨¬s)) is ________."
Mathematics,"In a room there are only two types of people, namely Type 1 and Type 2. Type 1 people always tell the truth and Type 2 people always lie. You give a fair coin to a person in that room, without knowing which type he is from and tell him to toss it and hide the result from you till you ask for it. Upon asking, the person replies the following ""The result of the toss is head if and only if I am telling the truth."" Which of the following options is correct?"
Mathematics,"Consider the following two statements.S1: If a candidate is known to be corrupt, then he will not be elected. S2: If a candidate is kind, he will be elected. Which one of the following statements follows from S1 and S2 as per sound inference rules of logic?"
Mathematics,Which one of the following is NOT equivalent to p↔q?
Mathematics,"The CORECT formula for the sentence, ""not all rainy days are cold"" is"
Mathematics,"Consider the following statements:P: Good mobile phones are not cheap, Q: Cheap mobile phones are not good, L: P implies Q, M: Q implies P, N: P is equivalent to Q. Which one of the following about L, M, and N is CORRECT?"
Mathematics,"Consider the statement ""Not all that glitters is gold"". Predicate glitters(x) is true if x glitters and predicate gold(x) is true if x is gold. Which one of the following logical formulae represents the above statement?"
Mathematics,Which one of the following is NOT logically equivalent to ¬∃x(∀y(α)∧∀z(β))?
Mathematics,"What is the logical translation of the following statement?""None of my friends are perfect."""
Mathematics,"What is the correct translation of the following statement into mathematical logic?""Some real numbers are rational"""
Mathematics,Consider the following logical inferences. I1: If it rains then the cricket match will not be played. The cricket match was played. Inference: There was no rain. I2: If it rains then the cricket match will not be played. It did not rain. Inference: The cricket match was played. Which of the following is TRUE?
Mathematics,"Which one of the following options is CORRECT given three positive integers x, y and z, and a predicate P(x)=¬(x=1)∧∀y(∃z(x=y∗z))⇒(y=x)∨(y=1)"
Mathematics,"Suppose the predicate F(x,y,t) is used to represent the statement that person x can fool person y at time t. which one of the statements below expresses best the meaning of the formula ∀x∃y∃t(¬F(x,y,t))?"
Mathematics,Consider the following well-formed formulae:I. ¬∀x(P(x)). II. ¬∃x(P(x)). III. ¬∃x(¬P(x)). IV. ∃x(¬P(x)). Which of the above are equivalent?
Mathematics,"Which one of the following is the most appropriate logical formula to represent the statement? ""Gold and silver ornaments are precious"". The following notations are used: G(x): x is a gold ornament, S(x): x is a silver ornament, P(x): x is precious"
Mathematics,"Which of the following is the negation of [∀x,α→(∃y,β→(∀u,∃v,y))]"
Mathematics,"Which of the following first order formulae is logically valid? Here α(x) is a first order formula with x as a free variable, and β is a first order formula with no free variable."
Mathematics,"Let P be the partial order defined on the set {1,2,3,4} as follows P={(x,x)∣x∈{1,2,3,4}}∪{(1,2),(3,2),(3,4)} The number of total orders on {1,2,3,4} that contain P is ______"
Mathematics,"Let X be a set and 2^X denote the powerset of X. Define a binary operation Δ on 2^X as follows: AΔB=(A−B)∪(B−A). Let H=(2^X,Δ). Which of the following statements about H is/are correct?"
Mathematics,"Let S be a set of consisting of 10 elements. The number of tuples of the form (A,B) such that A and B are subsets of S, and A⊆B is _______"
Mathematics,"If A={x,y,z} and B={u,v,w,x}, and the universe is {s,t,u,v,w,x,y,z}. Then (A∪Bbar)∩(A∩B) is equal to"
Mathematics,"Consider the first order predicate formula: ∀x[∀zz∣x⇒((z=x)∨(z=1))⇒ ∃w(w>x)∧(∀zz∣w⇒((w=z)∨(z=1)))] Here 'a|b' denotes that 'a divides b', where a and b are integers. Consider the following sets: S1: {1, 2, 3, ..., 100} S2: Set of all positive integers S3: Set of all integers. Which of the above sets satisfy φ ?"
Mathematics,"Let U={1,2,,...n}. Let A={(x,X)∣x∈X,X⊆U}. Consider the following two statements on |A|. I. ∣A∣=n2 ^n−1. II. ∣A∣=∑ k=1n k( kn ). Which of the above statements is/are TRUE?"
Mathematics,"The following paradigm can be used to find the solution of the problem in minimum time: Given a set of non-negative integer and a value K, determine if there is a subset of the given set with sum equal to K:"
Mathematics,"Let N be the set of natural numbers. Consider the following sets. P: Set of Rational numbers (positive and negative), Q: Set of functions from {0, 1} to N, R: Set of functions from N to {0, 1}, S: Set of finite subsets of N. Which of the sets above are countable?"
Mathematics,"The symmetric difference of sets A={1,2,3,4,5,6,7,8} and B={1,3,5,6,7,8,9} is:"
Mathematics,"Consider a set U of 23 different compounds in a Chemistry lab. There is a subset S of U of 9 compounds, each of which reacts with exactly 3 compounds of U. Consider the following statements: I. Each compound in U \ S reacts with an odd number of compounds. II. At least one compound in U \ S reacts with an odd number of compounds. III. Each compound in U n S reacts with an even number of compounds. Which one of the above statements is ALWAYS TRUE?"
Mathematics,"Suppose U is the power set of the set S={1,2,3,4,5,6}. For any T∈U, let |T| denote the number of elements in T and T' denote the complement of T. For any T,R∈U, let T\R be the set of all elements in T which are not in R. Which one of the following is true?"
Mathematics,Let X and Y denote the sets containing 2 and 20 distinct objects respectively and F denote the set of all possible functions defined from X to Y. Let f be randomly chosen from F. The probability of f being one-to-one is
Mathematics,"The number of onto functions (surjective functions) from set x={1,2,3,4} to set Y={a,b,c} is"
Mathematics,"The cardinality of the power set of { 0, 1, 2,..., 10 } is"
Mathematics,Let x and Y be finite sets and f:x→Y be a function. Which one of the following statements is TRUE?
Mathematics,"The number of elements in the power set of the set {{A, B}, C} is"
Mathematics,A binary operation ⊕ on a set of integers is defined as x⊕y=x2+y2. Which one of the following statements is TRUE about ⊕ ?
Mathematics,What is the possible number of reflexive relations on a set of 5 elements?
Mathematics,"If P, Q, R are subsets of the universal set U, then (P∩Q∩R)∪(PC∩Q∩R)∪QC∪RC is"
Mathematics,The set of all Equivalence Classes of a set A of Cardinality C
Mathematics,Let S be a set of n elements. The number of ordered pairs in the largest and the smallest equivalence relations on S are:
Mathematics,"What is the cardinality of the set of integers X defined below?X={n∣1≤n≤123, n is not divisible by either 2, 3 or 5}"
Mathematics,"Given a set of elements N = {1,2,...,n} and two arbitrary subsets A⊆N and B⊆N , how many of the n! permutations p from N to N satisfy min[p(A)]=min[p(B)], where min(S) is the smallest integer in the set of integers S and p(S) is the set of integers obtained by applying permutation p to each element of S ?"
Mathematics,"We are given a set X={x1​,...,xn​} where xi​=2i. A sample S⊆X is drawn by selecting each xi​ independently with probability pi​=21​. The expected value of the smallest number in sample S is:"
Mathematics,"Let X, Y, Z be sets of sizes x, y and z respectively. Let W=X×Y and E be the set of all subsets of W. The number of functions from Z to E is"
Mathematics,"Let n=p2q, where p and q are distinct prime numbers. How many numbers m satisfy 1≤m≤n and gcd(m,n)=1?"
Mathematics,"Let A be a set with n elements. Let C be a collection of distinct subsets of A such that for any two subsets S1​ and S2​ in C, either S1​⊂S2​ or S2​⊂S1​. What is the maximum cardinality of C?"
Mathematics,"In a class of 200 students, 125 students have taken Programming Language course, 85 students have taken Data Structures course, 65 students have taken Computer Organization course; 50 students have taken both Programming Language and Data Structures, 35 students have taken both Programming Language and Computer Organization; 30 students have taken both Data Structures and Computer Organization, 15 students have taken all the three courses. How many students have not taken any of the three courses?"
Mathematics,Let P(S) denotes the power set of set S. Which of the following is always true?
Mathematics,"A partial order ≤ is defined on the set S={x,a1​,a2​,…,an​,y} as x≤i​ai​ for all i and ai​≤y for all i, where n≥1. The number of total orders on the set S which contain the partial order ≤ is"
Mathematics,"Given Σ={a,b}, which one of the following sets is not countable?"
Mathematics,"Let X={2,3,6,12,24}, Let ≤ be the partial order defined by X≤Y if x divides y. Number of edges in the Hasse diagram of (X,≤) is"
Mathematics,Let A and B be sets and let Ac and Bc denote the complements of the sets A and B. The set (A−B)∪(B−A)∪(A∩B) is equal to
Mathematics,"The number of elements in the power set P(S) of the set S={{∅},1,{2,3}} is:"
Mathematics,Let A be a finite set of size n. The number of elements in the power set of A×A is:
Mathematics,"Let S be an infinite set and S1​…,Sn​ be sets such that S1​∪S2​∪⋯∪Sn​=S. Then"
Mathematics,"Consider the set of integers {1,2,3,4,6,8,12,24} together with the two binary operations LCM (lowest common multiple) and GCD (greatest common divisor). Which of the following algebraic structures does this represent?"
Mathematics,The number of arrangements of six identical balls in three identical bins is
Mathematics,The number of integers between 1 and 500 (both inclusive) that are divisible by 3 or 5 or 7 is
Mathematics,"The number of 4 digit numbers having their digits in non-decreasing order (from left to right) constructed by using the digits belonging to the set {1, 2, 3} is"
Mathematics,The number of divisors of 2100 is
Mathematics,The number of bit strings of length 8 that will either start with 1 or end with 00 is?
Mathematics,The number of distinct positive integral factors of 2014 is
Mathematics,"A pennant is a sequence of numbers, each number being 1 or 2. An n-pennant is a sequence of numbers with sum equal to n. For example, (1,1,2) is a 4-pennant. The set of all possible 1- pennants is {(1)}, the set of all possible 2-pennants is {(2), (1,1)}and the set of all 3-pennants is {(2,1), (1,1,1), (1,2)}. Note that the pennant (1,2) is not the same as the pennant (2,1). The number of 10- pennants is"
Mathematics,"There are 5 bags labelled 1 to 5. All the coins in a given bag have the same weight. Some bags have coins of weight 10 gm, others have coins of weight 11 gm. I pick 1, 2, 4, 8, 16 coins respectively from bags 1 to 5. Their total weight comes out to 323 gm. Then the product of the labels of the bags having 11 gm coins is"
Mathematics,In how many ways can b blue balls and r red balls be distributed in n distinct boxes?
Mathematics,A line L in a circuit is said to have a stuck-at-0 fault if the line permanently has a logic value 0. Similarly a line L in a circuit is said to have a stuck-at-1 fault if the line permanently has a logic value 1. A circuit is said to have a multiple stuck-at fault if one or more lines have stuck at faults. The total number of distinct multiple stuck-at faults possible in a circuit with N lines is
Mathematics,"In how many ways can we distribute 5 distinct balls, B1​,B2​,…,B5​ in 5 distinct cells, C1​,C2​,…,C5​ such that Ball Bi​ is not in cell Ci​,∀i=1,2,…5 and each cell contains exactly one ball?"
Mathematics,"Mala has a colouring book in which each English letter is drawn two times. She wants to paint each of these 52 prints with one of k colours, such that he colour pairs used to colour any two letters are different. Both prints of a letter can also be coloured with the same colour. What is the minimum value of k that satisfies this requirement?"
Mathematics,"n couples are invited to a party with the condition that every husband should be accompanied by his wife. However, a wife need not be accompanied by her husband. The number of different gatherings possible at the party is"
Mathematics,The minimum number of cards to be dealt from an arbitrarily shuffled deck of 52 cards to guarantee that three cards are from same suit is
Mathematics,The number of binary strings of n zeros and k ones in which no two ones are adjacent is
Mathematics,How many sub strings of different lengths (non-zero) can be formed from a character string of length n?
Mathematics,The number of substrings (of all lengths inclusive) that can be formed from a character string of length n is
Mathematics,How many 4-digit even numbers have all 4 digits distinct?
Mathematics,"The number of ways in which 5 A's, 5 B's and 5 C's can be arranged in a row is:"
Mathematics,"When six unbiased dice are rolled simultaneously, the probability of getting all distinct numbers (i.e., 1, 2, 3, 4, 5, and 6) is"
Mathematics,"A bag contains 10 red balls and 15 blue balls. Two balls are drawn randomly without replacement. Given that the first ball drawn is red, the probability (rounded off to 3 decimal places) that both balls drawn are red is"
Mathematics,"Let A and B be two events in a probability space with P(A)=0.3,P(B)=0.5, and P(A∩B)=0.1. Which of the following statements is/are TRUE?"
Mathematics,"Consider a permutation sampled uniformly at random from the set of all permutations of {1,2,3,⋯,n} for some n≥4. Let X be the event that 1 occurs before 2 in the permutation, and Y the event that 3 occurs before 4 . Which one of the following statements is TRUE?"
Mathematics,"Consider a random experiment where two fair coins are tossed. Let A be the event that denotes HEAD on both the throws, B be the event that denotes HEAD on the first throw, and C be the event that denotes HEAD on the second throw. Which of the following statements is/are TRUE?"
Mathematics,"A bag has r red balls and b black balls. All balls are identical except for their colours. In a trial, a ball is randomly drawn from the bag, its colour is noted and the ball is placed back into the bag along with another ball of the same colour. Note that the number of balls in the bag will increase by one, after the trial. A sequence of four such trials is conducted. Which one of the following choices gives the probability of drawing a red ball in the fourth trial?"
Mathematics,"For a given biased coin, the probability that the outcome of a toss is a head is 0.4. This coin is tossed 1,000 times. Let X denote the random variable whose value is the number of times that head appeared in these 1,000 tosses. The standard deviation of X (rounded to 2 decimal place) is"
Mathematics,"The lifetime of a component of a certain type is a random variable whose probability density function is exponentially distributed with parameter 2. For a randomly picked component of this type, the probability that its lifetime exceeds the expected lifetime (rounded to 2 decimal places) is"
Mathematics,"For n>2, let a∈{0,1}n be a non-zero vector. Suppose that x is chosen uniformly at random from {0,1}n. Then, the probability that ∑i=1n​ai​xi​ is an odd number is"
Mathematics,"Suppose Y is distributed uniformly in the open interval (1,6). The probability that the polynomial 3x2+6xY+3Y+6 has only real roots is (rounded off to 1 decimal place)"
Mathematics,"Two numbers are chosen independently and uniformly at random from the set {1, 2, ..., 13}. The probability (rounded off to 3 decimal places) that their 4-bit (unsigned) binary representations have the same most significant bit is"
Mathematics,"A class of 30 students occupy a classroom containing 5 rows of seats, with 8 seats in each row. If the students seat themselves at random, the probability that sixth seat in the fifth row will be empty is:"
Mathematics,"Two people, P and Q, decide to independently roll two identical dice, each with 6 faces, numbered 1 to 6. The person with the lower number wins. In case of a tie, they roll the dice repeatedly until there is no tie. Define a trial as a throw of the dice by P and Q. Assume that all 6 numbers on each dice are equi-probable and that all trials are independent. The probability (rounded to 3 decimal places) that one of them wins on the third trial is"
Mathematics,"P and Q are considering to apply for a job. The probability that P applies for the job is 1/4. The probability that P applies for the job given that Q applies for the job is 1/2 , and the probability that Q applies for the job given that P applies for the job 1/3. Then the probability that P does not apply for the job given that Q does not apply for the job is"
Mathematics,"Let X be a Gaussian random variable mean 0 and variance σ2 . Let Y=max(X, 0) where max (a,b) is the maximum of a and b. The median of Y is"
Mathematics,"Suppose that a shop has an equal number of LED bulbs of two different types. The probability of an LED bulb lasting more than 100 hours given that it is of Type 1 is 0.7, and given that it is of Type 2 is 0.4. The probability that an LED bulb chosen uniformly at random lasts more than 100 hours is"
Mathematics,"A probability density function on the interval [a,1] is given by 1/x2 and outside this interval the value of the function is zero.The value of a is"
Mathematics,The probability that two friends are born in the same month is
Mathematics,"Let S be a sample space and two mutually exclusive events A and B be such that A∪B = S. If P(.) denotes the probability of the event, the maximum value of P(A)P(B) is"
Mathematics,"The probability that a given positive integer lying between 1 and 100 (both inclusive) is NOT divisible by 2, 3 or 5 is"
Mathematics,"Each of the nine words in the sentence ""The quick brown fox jumps over the lazy og"" is written on a separate piece of paper. These nine pieces of paper are kept in a box. One of the pieces is drawn at random from the box. The expected length of the word drawn is"
Mathematics,"The security system at an IT office is composed of 10 computers of which exactly four are working. To check whether the system is functional, the officials inspect four of the computers picked at random (without replacement). The system is deemed functional if at least three of the four computers inspected are working. Let the probability that the system is deemed functional be denoted by p. Then 100p="
Mathematics,"Suppose a fair six-sided die is rolled once. If the value on the die is 1, 2, or 3, the die is rolled a second time. What is the probability that the sum total of values that turn up is at least 6?"
Mathematics,"Suppose p is the number of cars per minute passing through a certain road junction between 5 PM and 6 PM, and p has a Poisson distribution with mean 3. What is the probability of observing fewer than 3 cars during any given minute in this interval?"
Mathematics,Let P(E) denote the probability of the occurrence of event E. If P(A)= 0.5 and P(B)=1 then the values of P(A|B) and P(B|A) respectively are
Mathematics,Suppose you break a stick of unit length at a point chosen uniformly at random. Then the expected length of the shorter stick is
Mathematics,For fair six-sided dice are rolled. The probability that the sum of the results being 22 is 1296X​. The value of X is
Mathematics,If the difference between the expectation of the square of random variable (E[X2]) and the square of the expectation of the random variable (E[X2]) is denoted by R then
Mathematics,"Consider a finite sequence of random values X=[x1​,x2​,...,xn​]. Let μx​ be the mean and σx​ be the standard deviation of X .Let another finite sequence Y of equal length be derived from this as yi​=a∗xi​+b, where a and b are positive constants. Let Let μy​ be the mean and σy​ be the standard deviation of this sequence. Which one of the following statements is INCORRECT?"
Mathematics,A deck of 5 cards (each carrying a distinct number from 1 to 5) is shuffled thoroughly. Two cards are then removed one at a time from the deck. What is the probability that the two cards are selected with the number on the first card being one higher than the number on the second card?
Mathematics,Three coins are tossed simultaneously. The probability that they will fall two heads and one tail is
Mathematics,Consider a random variable X that takes values +1 and -1 with probability 0.5 each. The values of the cumulative distribution function F(x) at x = -1 and +1 are
Mathematics,"Let f(x) be the continuous probability density function of a random variable x, the probability that a<x≤b, is :"
Mathematics,Consider a company that assembles computers. The probability of a faulty assembly of any computer is p. The company therefore subjects each computer to a testing process. This testing process gives the correct result for any computer with a probability of q. What is the probability of a computer being declared faulty?
Mathematics,What is the probability that divisor of 1099 is a multiple of 1096?
Mathematics,"If two fair coins are flipped and at least one of the outcomes is known to be a head, what is the probability that both outcomes are heads?"
Mathematics,A program consists of two modules executed sequentially. Let f1​(t) and f2​(t) respectively denote the probability density functions of time taken to execute the two modules. The probability density function of the overall time taken to execute the program is given by
Mathematics,"Aishwarya studies either computer science or mathematics everyday. If she studies computer science on a day, then the probability that the studies mathematics the next day is 0.6. If she studies mathematics on a day, then the probability that the studies computer science the next day is 0.4. Given that Aishwarya studies computer science on Monday, what is the probability that she studies computer science on Wednesday?"
Mathematics,What is the probability that in a randomly chosen group of r people at least three people have the same birthday?
Mathematics,"When a coin is tossed, the probability of getting a Head is p, 0 < p < 1. Let N be the random variable denoting the number of tosses till the first Head appears, including the toss where the Head appears. Assuming that successive tosses are independent, the expected value of N is"
Mathematics,"Suppose we uniformly and randomly select a permutation from the 20! Permutations of 1, 2,3 ,...,20. What is the probability that 2 appears at an earlier position than any other even number in the selected permutation?"
Mathematics,"Suppose there are two coins. The first coin gives heads with probability 85​ when tossed, while the second coin gives heads with probability 41​. One of the two coins is picked up at random with equal probability and tossed. What is the probability of obtaining heads"
Mathematics,"In a multi-user operating system on an average, 20 requests are made to use a particular resource per hour. The arrival of requests follows a Poisson distribution. The probability that either one, three or five requests are made in 45 minutes is given by"
Mathematics,"Company X shipped 5 computer chips, 1 of which was defective. and company Y shipped 4 computer chips, 2 of which were defective. One computer chip is to be chosen uniformly at a random from the 9 chips shipped by the companies. If the chosen chip is found to be defective, what is the probability that the chip came from the company Y?"
Mathematics,"A bag contains 10 blue marbles, 20 green marbles and 30 red marbles. A marble is drawn from the bag, its colour recorded and it is put back in the bag. This process is repeated 3 times. The probability that no two of the marbles drawn have the same colour is"
Mathematics,"An unbiased coin is tossed repeatedly until the outcome of two successive tosses is the same. Assuming that the trials are independent, the expected number of tosses is"
Mathematics,"In a communication network, a packet of length L bits takes link L1​ with a probability of p1​ or link L2​ with a probability of p2​. Link L1​ and L2​ have bit error probability of b1​ and b2​ respectively. The probability that the packet will be received without error via either L1​ or L2​ is"
Mathematics,"For each element in set of size 2n, an unbiased coin is tossed. The 2n coin tossed are independent. An element is chosen if the corresponding coin toss were head. The probability that exactly n elements are chosen is"
Mathematics,"In a certain town, the probability that it will rain in the afternoon is known to be 0.6. Moreover, meteorological data indicates that if the temperature at noon is less than or equal to 25∘C, the probability that it will rain in the afternoon is 0.4. The temperature at noon is equally likely to be above 25∘C, or at/below 25∘C. What is the probability that it will rain in the afternoon on a day when the temperature at noon is above 25∘C?"
Mathematics,"In a population of N families, 50% of the families have three children, 30% of the families have two children and the remaining families have one child. What is the probability that a randomly picked child belongs to a family with two children?"
Mathematics,"Let X and Y be two exponentially distributed and independent random variables with mean α and β, respectively. If Z=min(X,Y), then the mean of Z is given by"
Mathematics,"Let f(x) be the continuous probability density function of a random variable X. The probability that a<X≤b, is:"
Mathematics,"Box P has 2 red balls and 3 blue balls and box Q has 3 balls and 1 blue ball. A ball is selected as follows: (i) select a box (ii) choose a ball from the selected box such that each ball in the box is equally likely to be chosen. The probabilities of selecting boxes P and Q are 1/3 and 2/3 respectively. Given that a ball selected in the above process is a red ball, the probability that it came from the box P is:"
Mathematics,"A random bit string of length n is constructed by tossing a fair coin n times and setting a bit to 0 or 1 depending on outcomes head and tail, respectively. The probability that two such randomly generated strings are not identical is:"
Mathematics,"Let P(E) denote the probability of the event E. Given P(A) = 1, P(B) = 1/2, the values of P(A|B) and P(B|A) respectively are"
Mathematics,A program consists of two modules executed sequentially. Let f1(t) and f2(t) respectively denote the probability density functions of time taken to execute the two modules. The probability density function of the overall time taken to execute the program is given by
Mathematics,If a fair coin is tossed four times. What is the probability that two heads and two tails will result?
Mathematics,"An examination paper has 150 multiple choice questions of one mark each, with each question having four choices. Each incorrect answer fetches -0.25 marks. Suppose 1000 students choose all their answers randomly with uniform probability. The sum total of the expected marks obtained by all these students is"
Mathematics,"Two n bit binary strings, S1 and S2, are chosen randomly with uniform probability. The probability that the Hamming distance between these strings (the number of bit positions where the two strings differ) is equal to d is"
Mathematics,A die is rolled three times. The probability that exactly one odd number turns up among the three outcomes is
Mathematics,Suppose that the expectation of a random variable X is 5. Which of the following statements is true?
Mathematics,"Consider two events E1​ and E0​ such that probability of E1​,Pr​[E1​]=21​, probability of E2​,Pr​[E2​]=31​, and probability of E1​, and E2​,Pr​[E1​andE2​]=51​. Which of the following statements is/are true?"
Mathematics,Four fair coins are tossed simultaneously. The probability that at least one head and one tail turn up is
Mathematics,The probability that a number selected at random between 100 and 999 (both inclusive) will not contain the digit 7 is:
Mathematics,A bag contains 10 white balls and 15 black balls. Two balls are drawn in succession. The probability that one of them is black and the other is white is:
Mathematics,Two dice are thrown simultaneously. The probability that at least one of them will have 6 facing up is
Mathematics,The probability that top and bottom cards of a randomly shuffled deck are both aces is
Mathematics,The probability that it will rain today is 0.5. The probability that it will rain tomorrow is 0.6. The probability that it will rain either today or tomorrow is 0.7. What is the probability that it will rain today and tomorrow?
Mathematics,Seven (distinct) car accidents occurred in a week. What is the probability that they all occurred on the same day?
Mathematics,Let an​ represent the number of bit strings of length n containing two consecutive 1s. What is the recurrence relation for an​?
Mathematics,"Let H1​,H2​,H3​,... be harmonic numbers. Then, for n∈Z+,∑j=1n​Hj​ can be expressed as"
Mathematics,Let A and B be non-empty finite sets such that there exist one-to-one and onto functions (i) from A to B and (ii) from A×A to A∪B. The number of possible values of ∣A∣ is
Mathematics,"Let f:R→R be a function such that f(x)=max{x,x3},x∈R, where R is the set of all real numbers. The set of all points where f(x) is NOT differentiable is"
Mathematics,If the ordinary generating function of a sequence {an​}n=0∞​is(1−z)31+z​ then a3​−a0​ is equal to
Mathematics,Let A be a finite set having x elements and let B be a finite set having y elements. What is the number of distinct functions mapping B into A.
Mathematics,"Let S denote the set of all functions f:{0,1}4→{0,1}. Denote by N the number of functions from S to the set {0,1}. The value of log2​log2​N is"
